date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:23	180748/180748	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-2c20c%22	https://demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-1.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-1.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/blog-grid.html)
13:01:23	28797/28797	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-707d%22	https://demo.themefisher.com/elite-shop-bootstrap/images/blog/member-2.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/blog/member-2.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/blog-single.html)
13:01:23	29734/29734	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-7426%22	https://demo.themefisher.com/elite-shop-bootstrap/images/blog/member-1.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/blog/member-1.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/blog-single.html)
13:01:24	335032/335032	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-51cb8%22	https://demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-2.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/blog/blog-post-2.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/blog-grid.html)
13:01:59	26042/26042	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-65ba%22	https://demo.themefisher.com/elite-shop-bootstrap/images/blog/member-3.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/blog/member-3.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/blog-single.html)
13:02:00	15223/15223	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-3b77%22	https://demo.themefisher.com/elite-shop-bootstrap/images/categories/product-big-2.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/categories/product-big-2.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:02:00	5561/5561	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-15b9%22	https://demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-4.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-4.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:02:01	6523/6523	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-197b%22	https://demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-5.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-5.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:02:38	5639/5639	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-1607%22	https://demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-6.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-6.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:02:38	16085/16085	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-3ed5%22	https://demo.themefisher.com/elite-shop-bootstrap/images/categories/product-big-3.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/categories/product-big-3.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:02:38	4903/4903	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-1327%22	https://demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-7.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/categories/product-sm-7.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:02:39	52878/52878	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-ce8e%22	https://demo.themefisher.com/elite-shop-bootstrap/images/collection/product-6.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/collection/product-6.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:02:40	163873/163873	U-----	200	untouched ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Users/Precious%20Banigo/GitHub/Fabulos/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://demo.themefisher.com/elite-shop-bootstrap/{{link}})
13:02:40	45812/45812	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-b2f4%22	https://demo.themefisher.com/elite-shop-bootstrap/images/collection/product-7.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/collection/product-7.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:05:32	18190/18190	U-----	200	untouched ('OK')	text/html	etag:W/%226530bce5-470e%22	https://demo.themefisher.com/elite-shop-bootstrap/address.html	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/address.html	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:05:55	3751/3751	U-----	200	untouched ('')	image/png	etag:%226530bce5-ea7%22	https://demo.themefisher.com/elite-shop-bootstrap/images/logo-alt.png	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/logo-alt.png	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:05:55	4474/4474	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-117a%22	https://demo.themefisher.com/elite-shop-bootstrap/images/payment-card/card-1.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/payment-card/card-1.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:06:30	3610/3610	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-e1a%22	https://demo.themefisher.com/elite-shop-bootstrap/images/payment-card/card-2.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/payment-card/card-2.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:06:43	4575/4575	U-----	200	untouched ('')	image/jpeg	etag:%226530bce5-11df%22	https://demo.themefisher.com/elite-shop-bootstrap/images/payment-card/card-3.jpg	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/images/payment-card/card-3.jpg	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:06:43	2616/2616	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-a38%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/zoom-master/jquery.zoom.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/zoom-master/jquery.zoom.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:07:34	11068/11068	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-2b3c%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/bootstrap-touchspin-master/jquery.bootstrap-touchspin.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/bootstrap-touchspin-master/jquery.bootstrap-touchspin.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
13:07:41	48634/48634	U-----	200	untouched ('')	application/javascript	etag:%225eb03e5b-bdfa%22	https://cdnjs.cloudflare.com/ajax/libs/filterizr/2.2.4/vanilla.filterizr.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/cdnjs.cloudflare.com/ajax/libs/filterizr/2.2.4/vanilla.filterizr.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/{{link}})
13:07:50	2942/2942	U-----	200	untouched ('')	application/javascript	etag:W/%226530bce5-b7e%22	https://demo.themefisher.com/elite-shop-bootstrap/plugins/nice-select/jquery.nice-select.min.js	C:/Users/Precious%20Banigo/GitHub/Fabulos/demo.themefisher.com/elite-shop-bootstrap/plugins/nice-select/jquery.nice-select.min.js	(from https://demo.themefisher.com/elite-shop-bootstrap/index.html)
